epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,4948.66,0.51868,0.35845,0.85229,0.95999,0.95169,0.95843,0.8126,0.37228,0.51105,0.55822,0.000973625,0.000973625,0.000973625
69,5020.65,0.53176,0.35974,0.84526,0.95894,0.95675,0.96071,0.80084,0.39943,0.56197,0.562,0.0009695,0.0009695,0.0009695
70,5092.68,0.53568,0.34992,0.84349,0.95055,0.94891,0.95601,0.81067,0.3734,0.49127,0.55861,0.000965375,0.000965375,0.000965375
71,5164.64,0.55377,0.3636,0.84726,0.94861,0.95013,0.95396,0.80217,0.38575,0.48875,0.56155,0.00096125,0.00096125,0.00096125
72,5236.76,0.58253,0.37522,0.85946,0.95034,0.95147,0.95892,0.81613,0.38171,0.49932,0.56254,0.000957125,0.000957125,0.000957125
73,5308.67,0.54649,0.35821,0.84639,0.95098,0.9504,0.9586,0.81688,0.37088,0.4941,0.55876,0.000953,0.000953,0.000953
74,5380.83,0.55217,0.36112,0.85771,0.95679,0.95541,0.9571,0.79504,0.38508,0.53002,0.55781,0.000948875,0.000948875,0.000948875
75,5453,0.5448,0.35974,0.84792,0.95406,0.94857,0.95301,0.79815,0.38192,0.55898,0.55877,0.00094475,0.00094475,0.00094475
76,5525.08,0.5535,0.36983,0.85457,0.9551,0.95053,0.95386,0.80029,0.38444,0.55745,0.55778,0.000940625,0.000940625,0.000940625
77,5597,0.53819,0.35971,0.83563,0.95178,0.94627,0.95353,0.79859,0.39024,0.53525,0.55991,0.0009365,0.0009365,0.0009365
78,5669.21,0.54045,0.35685,0.84883,0.95777,0.95408,0.95454,0.80972,0.37817,0.49479,0.55903,0.000932375,0.000932375,0.000932375
79,5741.28,0.53006,0.34928,0.8406,0.95775,0.95389,0.95466,0.80405,0.37292,0.45255,0.55822,0.00092825,0.00092825,0.00092825
80,5813.27,0.53208,0.34855,0.83847,0.93242,0.95619,0.95152,0.80292,0.3821,0.48454,0.56162,0.000924125,0.000924125,0.000924125
81,5885.44,0.54654,0.35433,0.84298,0.94169,0.95222,0.95275,0.80494,0.37367,0.49603,0.56048,0.00092,0.00092,0.00092
82,5957.63,0.52634,0.34611,0.83673,0.95489,0.95546,0.95593,0.81189,0.37495,0.48519,0.55885,0.000915875,0.000915875,0.000915875
83,6029.75,0.52996,0.35472,0.8445,0.95213,0.95246,0.95637,0.81555,0.3677,0.49895,0.55845,0.00091175,0.00091175,0.00091175
84,6101.65,0.4825,0.32329,0.83143,0.95326,0.95545,0.96323,0.81773,0.3689,0.47358,0.55937,0.000907625,0.000907625,0.000907625
85,6173.71,0.5173,0.35148,0.84158,0.95089,0.95571,0.96438,0.81445,0.39069,0.45525,0.55891,0.0009035,0.0009035,0.0009035
86,6245.97,0.50579,0.33973,0.84197,0.95466,0.95818,0.95982,0.80203,0.38198,0.44785,0.55524,0.000899375,0.000899375,0.000899375
87,6317.85,0.5229,0.34662,0.84786,0.95358,0.95935,0.96045,0.81111,0.38043,0.45729,0.55625,0.00089525,0.00089525,0.00089525
88,6389.76,0.51687,0.3326,0.83638,0.95793,0.95322,0.95267,0.81217,0.37407,0.42251,0.55856,0.000891125,0.000891125,0.000891125
89,6461.92,0.51112,0.3418,0.83691,0.94713,0.95856,0.95426,0.81659,0.37163,0.44005,0.55777,0.000887,0.000887,0.000887
90,6534.01,0.5308,0.34918,0.8441,0.9471,0.96418,0.95517,0.81803,0.36389,0.41035,0.55667,0.000882875,0.000882875,0.000882875
91,6606.48,0.51113,0.33649,0.83996,0.96118,0.95147,0.95578,0.80874,0.37911,0.39475,0.55992,0.00087875,0.00087875,0.00087875
92,6678.74,0.49432,0.32528,0.83295,0.95797,0.94156,0.9526,0.82045,0.35897,0.37058,0.55937,0.000874625,0.000874625,0.000874625
93,6750.94,0.53034,0.33763,0.83396,0.95556,0.95458,0.95555,0.8273,0.37156,0.35861,0.55882,0.0008705,0.0008705,0.0008705
94,6823.16,0.51008,0.34105,0.83707,0.96072,0.96408,0.95784,0.81321,0.37583,0.38791,0.55601,0.000866375,0.000866375,0.000866375
95,6895.23,0.53061,0.34057,0.83854,0.96284,0.96761,0.96714,0.82536,0.37196,0.41624,0.55753,0.00086225,0.00086225,0.00086225
96,6967.26,0.5196,0.34291,0.84652,0.95469,0.95729,0.95979,0.81853,0.37596,0.40874,0.55937,0.000858125,0.000858125,0.000858125
97,7039.53,0.50488,0.33147,0.84122,0.96126,0.95824,0.96935,0.82622,0.36629,0.39977,0.55774,0.000854,0.000854,0.000854
98,7111.86,0.50816,0.32621,0.84287,0.95015,0.95869,0.95761,0.81618,0.3679,0.3814,0.55755,0.000849875,0.000849875,0.000849875
99,7184.02,0.50452,0.3333,0.83348,0.95649,0.95113,0.96128,0.82784,0.36391,0.3571,0.55753,0.00084575,0.00084575,0.00084575
100,7256.2,0.51067,0.32622,0.83797,0.95236,0.95124,0.95782,0.81291,0.39049,0.53683,0.56146,0.000841625,0.000841625,0.000841625
101,7328.43,0.50053,0.3276,0.83994,0.94419,0.95514,0.95503,0.81322,0.38149,1.00092,0.56232,0.0008375,0.0008375,0.0008375
102,7400.58,0.52213,0.33065,0.84674,0.95247,0.94994,0.95473,0.80774,0.36046,0.6804,0.55905,0.000833375,0.000833375,0.000833375
103,7472.85,0.51657,0.33873,0.83992,0.95132,0.95862,0.96382,0.81559,0.37104,0.75417,0.55892,0.00082925,0.00082925,0.00082925
104,7545,0.48899,0.31974,0.82902,0.96192,0.95978,0.96057,0.81533,0.36461,0.49756,0.55566,0.000825125,0.000825125,0.000825125
105,7616.92,0.51285,0.32906,0.83693,0.95275,0.95595,0.95453,0.81215,0.36695,0.39167,0.55546,0.000821,0.000821,0.000821
106,7689.19,0.50249,0.32411,0.83332,0.95435,0.94723,0.95282,0.80891,0.38667,0.38032,0.56239,0.000816875,0.000816875,0.000816875
107,7761.31,0.49478,0.32479,0.83396,0.94535,0.95295,0.94815,0.81278,0.36081,0.43132,0.55893,0.00081275,0.00081275,0.00081275
108,7833.51,0.49398,0.32392,0.83955,0.95192,0.95483,0.94247,0.80578,0.35516,0.49851,0.55619,0.000808625,0.000808625,0.000808625
109,7905.69,0.5033,0.33032,0.84032,0.9618,0.95852,0.9564,0.81579,0.36248,0.41977,0.55952,0.0008045,0.0008045,0.0008045
110,7977.75,0.48209,0.31562,0.83436,0.95385,0.95931,0.95813,0.81956,0.36158,0.33891,0.55528,0.000800375,0.000800375,0.000800375
111,8049.8,0.49827,0.31828,0.83649,0.95966,0.95727,0.96227,0.82786,0.35984,0.31776,0.5575,0.00079625,0.00079625,0.00079625
112,8121.76,0.47143,0.31688,0.83194,0.94444,0.95144,0.96036,0.82611,0.35687,0.369,0.55761,0.000792125,0.000792125,0.000792125
113,8193.77,0.50733,0.33001,0.83629,0.95021,0.94736,0.95523,0.82182,0.36595,0.37333,0.55938,0.000788,0.000788,0.000788
114,8265.84,0.49406,0.32139,0.83687,0.94834,0.94675,0.95804,0.80948,0.37161,0.36998,0.55868,0.000783875,0.000783875,0.000783875
115,8337.96,0.48817,0.31955,0.83072,0.95499,0.9556,0.95878,0.81235,0.37752,0.36794,0.56111,0.00077975,0.00077975,0.00077975
116,8410.22,0.4726,0.306,0.82596,0.95724,0.95593,0.96482,0.82389,0.3603,0.34605,0.55638,0.000775625,0.000775625,0.000775625
117,8482.45,0.4897,0.31679,0.83404,0.95281,0.94791,0.95831,0.82466,0.36388,0.3401,0.55812,0.0007715,0.0007715,0.0007715
118,8554.53,0.47759,0.30501,0.8407,0.95131,0.9461,0.95551,0.81352,0.37941,0.36871,0.56434,0.000767375,0.000767375,0.000767375
119,8626.72,0.47384,0.30925,0.83084,0.95295,0.94963,0.95595,0.81817,0.37671,0.43906,0.56552,0.00076325,0.00076325,0.00076325
120,8698.78,0.467,0.31587,0.83516,0.9502,0.9469,0.95899,0.81841,0.36528,0.35487,0.56207,0.000759125,0.000759125,0.000759125
121,8770.87,0.47913,0.31099,0.83225,0.95306,0.95922,0.96365,0.83353,0.36093,0.33051,0.56031,0.000755,0.000755,0.000755
122,8842.95,0.4802,0.30123,0.82246,0.96138,0.94646,0.96102,0.82851,0.35412,0.38384,0.55576,0.000750875,0.000750875,0.000750875
123,8915.09,0.48837,0.31142,0.83718,0.95829,0.9475,0.96001,0.82353,0.36088,0.48845,0.55652,0.00074675,0.00074675,0.00074675
124,8987.12,0.46956,0.30125,0.836,0.95822,0.94544,0.95952,0.81453,0.35929,0.34295,0.55666,0.000742625,0.000742625,0.000742625
125,9059.04,0.46778,0.30781,0.82421,0.96066,0.94204,0.95983,0.81499,0.36989,0.32263,0.55942,0.0007385,0.0007385,0.0007385
126,9130.95,0.46989,0.30241,0.82558,0.96254,0.96142,0.96052,0.83111,0.35523,0.29285,0.55915,0.000734375,0.000734375,0.000734375
127,9207.51,0.46487,0.30341,0.83346,0.96785,0.95841,0.96687,0.828,0.35575,0.29782,0.55804,0.00073025,0.00073025,0.00073025
128,9281.85,0.49095,0.32003,0.83076,0.96093,0.94992,0.95751,0.81297,0.3705,0.3109,0.55758,0.000726125,0.000726125,0.000726125
129,9353.83,0.48407,0.31706,0.83439,0.95839,0.9451,0.96282,0.82366,0.36538,0.32342,0.55953,0.000722,0.000722,0.000722
130,9425.86,0.45594,0.29585,0.83176,0.94714,0.95069,0.96254,0.82301,0.37111,0.33637,0.56151,0.000717875,0.000717875,0.000717875
131,9498.04,0.477,0.30672,0.83363,0.9481,0.95291,0.96147,0.82304,0.37799,0.33389,0.55995,0.00071375,0.00071375,0.00071375
132,9570.36,0.49212,0.31249,0.82378,0.95015,0.95313,0.95389,0.81596,0.36209,0.34353,0.55598,0.000709625,0.000709625,0.000709625
133,9642.38,0.45917,0.3,0.82301,0.95572,0.95691,0.95308,0.82085,0.3616,0.34704,0.55607,0.0007055,0.0007055,0.0007055
134,9714.37,0.46444,0.29432,0.82777,0.95528,0.95237,0.96088,0.82614,0.36456,0.31284,0.5575,0.000701375,0.000701375,0.000701375
135,9786.54,0.4634,0.3048,0.83527,0.95236,0.95535,0.96005,0.81194,0.36676,0.31842,0.5613,0.00069725,0.00069725,0.00069725
136,9858.44,0.46358,0.30768,0.82914,0.95898,0.96384,0.96847,0.81495,0.37664,0.30461,0.56113,0.000693125,0.000693125,0.000693125
137,9930.48,0.48208,0.30374,0.83001,0.95614,0.9628,0.96945,0.83581,0.35225,0.30314,0.55823,0.000689,0.000689,0.000689
138,10002.5,0.46577,0.29617,0.82944,0.96036,0.96276,0.9689,0.82886,0.35872,0.2914,0.5599,0.000684875,0.000684875,0.000684875
139,10074.7,0.46056,0.30138,0.83345,0.95659,0.95818,0.96069,0.82633,0.35316,0.28873,0.55918,0.00068075,0.00068075,0.00068075
140,10146.7,0.45332,0.29632,0.82674,0.94942,0.93378,0.95775,0.83694,0.34284,0.29417,0.55843,0.000676625,0.000676625,0.000676625
141,10219,0.4815,0.32008,0.83065,0.9529,0.94458,0.95322,0.81275,0.3667,0.30642,0.55855,0.0006725,0.0006725,0.0006725
142,10291.3,0.45326,0.303,0.82038,0.96005,0.94438,0.96219,0.82933,0.34997,0.30868,0.55444,0.000668375,0.000668375,0.000668375
143,10363.3,0.48158,0.30421,0.83196,0.94946,0.94588,0.95587,0.82885,0.35981,0.29444,0.55783,0.00066425,0.00066425,0.00066425
144,10435.3,0.46883,0.30102,0.82699,0.94373,0.95147,0.96019,0.82961,0.35016,0.28761,0.5537,0.000660125,0.000660125,0.000660125
145,10507.4,0.46021,0.29775,0.83055,0.95117,0.95117,0.96151,0.83133,0.3584,0.28434,0.55508,0.000656,0.000656,0.000656
146,10579.6,0.44856,0.29391,0.82639,0.94775,0.95139,0.95836,0.83762,0.35072,0.29358,0.55711,0.000651875,0.000651875,0.000651875
147,10651.8,0.43934,0.29002,0.83546,0.94903,0.95111,0.95414,0.82612,0.35326,0.3125,0.5574,0.00064775,0.00064775,0.00064775
